riga,colonna,x,y
0,0,99.96584,-0.8326747414396678
0,0,100.9301,-1.0025905616092208
0,0,102.8585,-1.168264549431757
0,0,103.8228,-1.2372529752190686
0,0,105.7512,-1.0448995104785086
0,0,106.7155,-0.5940827678940009
0,0,108.6439,-0.5824557722791404
0,0,109.6082,-0.876124990492009
0,0,111.5366,-0.9969284445899601
0,0,112.5009,-1.1747509388054456
0,0,114.4293,-1.1827463806433944
0,0,115.3936,-0.8923710815699506
0,0,117.322,-0.7608742788124438
0,0,118.2863,-0.8034495310577765
0,0,120.2147,-0.8985721458978754
0,0,121.179,-0.8963386848452056
0,0,123.1074,-0.7883542509977478
0,0,124.0717,-0.5681641577646791
0,0,126.0001,-0.46772340109937877
0,0,126.9644,-0.17796630629175594
0,0,128.8929,0.07697479237615716
0,0,129.8571,0.5949491250376612
0,0,131.7856,0.6334775170505832
0,0,132.7498,0.35522219186551224
0,0,134.6783,0.15098335382976175
0,0,135.6425,-0.3765731449519647
0,0,137.571,-0.6188045979702591
0,0,138.5352,-0.9905197270342847
0,0,140.4637,-1.1231340528876983
0,0,141.4279,-1.2354221395087532
0,0,143.3564,-1.2423491975642322
0,0,144.3206,-1.3735781118065495
0,0,146.2491,-1.5281307634008843
0,0,147.2133,-1.6401525466458944
0,0,149.1418,-1.5698738175960754
0,0,150.106,-1.4219232705328773
0,0,152.0345,-1.3963676572673327
0,0,152.9987,-1.4241171031069686
0,0,154.9272,-1.4765408248485696
0,0,155.8914,-1.6353638412944975
0,0,157.8199,-1.6644416337360781
0,0,158.7841,-1.583534546731571
0,0,160.7126,-1.5320698341715628
0,0,161.6768,-1.4533010998711389
0,0,163.6053,-1.4255040998572075
0,0,164.5695,-1.4097842749747864
0,0,166.498,-1.4168048562397095
0,0,167.4622,-1.4087888075929
0,0,169.3907,-1.3882041906802116
0,0,170.3549,-1.3624583607174916
0,0,172.2834,-1.3612219521858497
0,0,173.2476,-1.3458571984714889
0,0,175.1761,-1.3165384648801537
0,0,176.1403,-1.2463453333440637
0,0,178.0688,-1.2521897413647847
0,0,179.033,-1.3271684079739843
0,0,180.9615,-1.3380440476350004
0,0,181.9257,-1.2843981836140466
0,0,183.8542,-1.2580119574375015
0,0,184.8184,-1.2369533839210165
0,0,186.7469,-1.2404343494793304
0,0,187.7111,-1.3157569912825902
0,0,189.6396,-1.3638406020503007
0,0,190.6038,-1.3057817106548717
0,0,192.5323,-1.1748666539628947
0,0,193.4965,-1.009820381241037
0,0,195.425,-0.99028988185853
0,0,196.3892,-0.9456127351094062
0,0,198.3177,-0.8953574837156074
0,0,199.2819,-0.7836907716386596
0,0,201.2104,-0.7598312572562642
0,0,202.1746,-0.7729260917176619
0,0,204.1031,-0.783884158614121
0,0,205.0673,-0.8133027559714746
0,0,206.9958,-0.8259743582816562
0,0,207.96,-0.8734254985312586
0,0,209.8885,-0.8683879263343912
0,0,210.8527,-0.70716817950405
0,0,212.7812,-0.5907539756934275
0,0,213.7454,-0.4797831397003127
0,0,215.6739,-0.496847162576109
0,0,216.6381,-0.3110181305486726
0,0,218.5666,-0.05310806626567814
0,0,219.5308,0.40735266286563343
0,0,221.4593,0.5412652176772704
0,0,222.4235,0.9074133380706241
0,0,224.352,1.2969723784688647
0,0,225.3162,2.4196471765908116
0,0,227.2447,2.8855988277139257
0,0,228.2089,3.665389007507098
0,0,230.1374,3.84810165597914
0,0,231.1016,3.699033585820035
0,0,233.0301,3.4653190854177782
0,0,233.9943,2.6564463577655992
0,0,235.9228,2.1772587947973463
0,0,236.887,1.1986668042293627
0,0,238.8155,0.714416306837953
0,0,239.7797,-0.037510297097276414
0,0,241.7082,-0.2843782821092274
0,0,242.6724,-0.6874363674503658
0,0,244.6009,-0.8372431124501694
0,0,245.5651,-1.0657044617320912
0,0,247.4936,-1.1506282913252903
0,0,248.4578,-1.2619113997296016
0,0,250.3863,-1.2811010941963357
0,0,251.3505,-1.2336293471378728
0,0,253.279,-1.2250569146518249
0,0,254.2432,-1.2357724552593847
0,0,256.1717,-1.2512418281571926
0,0,257.1359,-1.3135409667604947
0,0,259.0644,-1.346871687523092
0,0,260.0286,-1.413201834967374
0,0,261.9571,-1.4361800119861898
0,0,262.9213,-1.4080945166482095
0,0,264.8498,-1.3567074759062157
0,0,265.814,-1.3253233060113807
0,0,267.7425,-1.3739220870006088
0,0,268.7067,-1.4343317397453001
0,0,270.6352,-1.4347724084270905
0,0,271.5994,-1.4208517164721213
0,0,273.5279,-1.4110872593504387
0,0,274.4921,-1.4032645976790916
0,0,276.4206,-1.4339338698203743
0,0,277.3849,-1.5897593881466423
0,0,279.3133,-1.6270561270453532
0,0,280.2776,-1.5971841798930646
0,0,282.206,-1.5588143017944551
0,0,283.1703,-1.418133202841653
0,0,285.0987,-1.3597271659738788
0,0,286.063,-1.356477630730461
0,0,287.9914,-1.3799773185273665
0,0,288.9557,-1.3623347198643276
0,0,290.8841,-1.3209134489151928
0,0,291.8484,-1.260939709434863
0,0,293.7768,-1.2445588815297555
0,0,294.7411,-1.2242199611842524
0,0,296.6695,-1.2146219436725993
0,0,297.6338,-1.2139958137110622
0,0,299.5622,-1.2370722693567517
0,0,300.5265,-1.3040935374674385
0,0,302.4549,-1.3085065648419125
0,0,303.4192,-1.243601457487305
0,0,305.3476,-1.2064505513897634
0,0,306.3119,-1.0863873572716547
0,0,308.2403,-1.0612042517047455
0,0,309.2046,-1.162596091855924
0,0,311.133,-1.2300231555872512
0,0,312.0973,-1.319515356190952
0,0,314.0257,-1.3472521209174435
0,0,314.99,-1.3850022096110892
0,0,316.9184,-1.3944607348781466
0,0,317.8827,-1.3415884187590392
0,0,319.8111,-1.2435095194170036
0,0,320.7754,-1.1063553550576648
0,0,322.7038,-1.0536225311831533
0,0,323.6681,-1.053009082334762
0,0,325.5965,-1.1652733918686704
0,0,326.5608,-1.4518253353288848
0,0,328.4892,-1.4926902224387801
0,0,329.4535,-1.3149041864235858
0,0,331.3819,-1.2359943747394235
0,0,332.3462,-1.1221132232795217
0,0,334.2746,-1.0554771439806163
0,0,335.2389,-0.8559651908696801
0,0,337.1673,-0.7610470589790447
0,0,338.1316,-0.6546350831615733
0,0,340.0601,-0.6142711000209061
0,0,341.0243,-0.4776051585176521
0,0,342.9528,-0.3894714221596149
0,0,343.917,-0.2600479814013215
0,0,345.8455,-0.22081261733056437
0,0,346.8097,-0.16361287135071217
0,0,348.7382,-0.12661255347176725
0,0,349.7024,-0.1316723176166387
0,0,351.6309,-0.20713920708192302
0,0,352.5951,-0.3920710503543479
