nome,x,y
Nontronite,100.0,0.0
Nontronite,151.5903,0.0
Nontronite,152.0724,5.921387
Nontronite,152.5545,5.41748
Nontronite,153.0366,36.13379
Nontronite,153.5188,80.37012
Nontronite,154.0009,143.9121
Nontronite,154.483,237.6523
Nontronite,154.9651,336.4668
Nontronite,155.4472,430.0
Nontronite,155.9293,509.5273
Nontronite,156.4115,590.2324
Nontronite,156.8936,681.9854
Nontronite,157.3757,778.249
Nontronite,157.8578,860.2979
Nontronite,158.3399,910.917
Nontronite,158.8221,951.9395
Nontronite,159.3042,998.0703
Nontronite,159.7863,1063.167
Nontronite,160.2684,1122.717
Nontronite,160.7505,1171.214
Nontronite,161.2326,1208.613
Nontronite,161.7148,1231.097
Nontronite,162.1969,1220.257
Nontronite,162.679,1200.156
Nontronite,163.1611,1194.836
Nontronite,163.6432,1234.318
Nontronite,164.1253,1275.251
Nontronite,164.6075,1286.005
Nontronite,165.0896,1264.873
Nontronite,165.5717,1249.78
Nontronite,166.0538,1267.944
Nontronite,166.5359,1304.952
Nontronite,167.018,1340.041
Nontronite,167.5002,1364.415
Nontronite,167.9823,1384.198
Nontronite,168.4644,1400.553
Nontronite,168.9465,1411.948
Nontronite,169.4286,1431.708
Nontronite,169.9107,1477.171
Nontronite,170.3929,1538.401
Nontronite,170.875,1595.823
Nontronite,171.3571,1632.713
Nontronite,171.8392,1662.961
Nontronite,172.3213,1701.988
Nontronite,172.8034,1752.92
Nontronite,173.2856,1807.335
Nontronite,173.7677,1856.506
Nontronite,174.2498,1913.487
Nontronite,174.7319,1974.919
Nontronite,175.214,2063.118
Nontronite,175.6961,2172.774
Nontronite,176.1783,2264.363
Nontronite,176.6604,2315.188
Nontronite,177.1425,2339.104
Nontronite,177.6246,2368.615
Nontronite,178.1067,2425.224
Nontronite,178.5888,2459.22
Nontronite,179.071,2459.522
Nontronite,179.5531,2442.858
Nontronite,180.0352,2414.974
Nontronite,180.5173,2379.519
Nontronite,180.9994,2331.12
Nontronite,181.4815,2251.505
Nontronite,181.9637,2141.237
Nontronite,182.4458,2036.456
Nontronite,182.9279,1978.387
Nontronite,183.41,1953.954
Nontronite,183.8921,1912.793
Nontronite,184.3742,1836.588
Nontronite,184.8564,1736.03
Nontronite,185.3385,1632.719
Nontronite,185.8206,1525.039
Nontronite,186.3027,1424.271
Nontronite,186.7848,1351.119
Nontronite,187.2669,1300.503
Nontronite,187.7491,1231.104
Nontronite,188.2312,1115.984
Nontronite,188.7133,970.7969
Nontronite,189.1954,852.792
Nontronite,189.6775,765.7109
Nontronite,190.1596,692.3486
Nontronite,190.6418,611.5791
Nontronite,191.1239,523.9404
Nontronite,191.606,438.6055
Nontronite,192.0881,356.5713
Nontronite,192.5702,278.6992
Nontronite,193.0524,212.8252
Nontronite,193.5345,159.6221
Nontronite,194.0166,116.8916
Nontronite,194.4987,85.17969
Nontronite,194.9808,65.19727
Nontronite,195.4629,45.46777
Nontronite,195.9451,-5.020295
Nontronite,196.4272,22.26506
Nontronite,196.9093,37.45532
Nontronite,197.3914,41.20043
Nontronite,197.8735,-0.7791141
Nontronite,198.3556,16.28524
Nontronite,198.8378,9.687423
Nontronite,199.3199,2.119393
Nontronite,199.802,27.49393
Nontronite,200.2841,-7.835065
Nontronite,200.7662,17.01706
Nontronite,201.2483,17.84597
Nontronite,201.7305,29.66965
Nontronite,202.2126,17.68513
Nontronite,202.6947,13.05423
Nontronite,203.1768,32.23922
Nontronite,203.6589,38.23715
Nontronite,204.141,23.51193
Nontronite,204.6232,36.0345
Nontronite,205.1053,-0.1261673
Nontronite,205.5874,6.433444
Nontronite,206.0695,45.30664
Nontronite,206.5516,77.8125
Nontronite,207.0337,102.7363
Nontronite,207.5159,130.8105
Nontronite,207.998,162.6514
Nontronite,208.4801,190.8516
Nontronite,208.9622,209.6865
Nontronite,209.4443,221.9443
Nontronite,209.9264,258.7842
Nontronite,210.4086,329.6719
Nontronite,210.8907,406.751
Nontronite,211.3728,465.4697
Nontronite,211.8549,498.3389
Nontronite,212.337,541.0488
Nontronite,212.8191,604.5654
Nontronite,213.3013,684.2695
Nontronite,213.7834,742.708
Nontronite,214.2655,766.6875
Nontronite,214.7476,790.7861
Nontronite,215.2297,845.7197
Nontronite,215.7118,941.2988
Nontronite,216.194,1042.275
Nontronite,216.6761,1141.581
Nontronite,217.1582,1240.052
Nontronite,217.6403,1349.459
Nontronite,218.1224,1475.687
Nontronite,218.6045,1603.189
Nontronite,219.0867,1710.59
Nontronite,219.5688,1774.15
Nontronite,220.0509,1874.351
Nontronite,220.533,2041.138
Nontronite,221.0151,2279.125
Nontronite,221.4972,2462.676
Nontronite,221.9794,2568.705
Nontronite,222.4615,2647.875
Nontronite,222.9436,2759.323
Nontronite,223.4257,2927.678
Nontronite,223.9078,3079.644
Nontronite,224.3899,3199.423
Nontronite,224.8721,3288.537
Nontronite,225.3542,3343.528
Nontronite,225.8363,3343.857
Nontronite,226.3184,3330.036
Nontronite,226.8005,3351.236
Nontronite,227.2827,3420.448
Nontronite,227.7648,3499.772
Nontronite,228.2469,3578.691
Nontronite,228.729,3654.604
Nontronite,229.2111,3750.212
Nontronite,229.6932,3881.477
Nontronite,230.1754,4018.324
Nontronite,230.6575,4123.57
Nontronite,231.1396,4191.193
Nontronite,231.6217,4236.098
Nontronite,232.1038,4261.173
Nontronite,232.5859,4265.647
Nontronite,233.0681,4253.083
Nontronite,233.5502,4216.362
Nontronite,234.0323,4167.712
Nontronite,234.5144,4127.01
Nontronite,234.9965,4111.395
Nontronite,235.4786,4074.995
Nontronite,235.9608,3999.922
Nontronite,236.4429,3878.618
Nontronite,236.925,3758.112
Nontronite,237.4071,3636.352
Nontronite,237.8892,3517.516
Nontronite,238.3713,3411.174
Nontronite,238.8535,3333.479
Nontronite,239.3356,3240.931
Nontronite,239.8177,3114.234
Nontronite,240.2998,2938.283
Nontronite,240.7819,2785.784
Nontronite,241.264,2661.682
Nontronite,241.7462,2555.77
Nontronite,242.2283,2450.762
Nontronite,242.7104,2349.393
Nontronite,243.1925,2244.227
Nontronite,243.6746,2130.373
Nontronite,244.1567,2000.889
Nontronite,244.6389,1885.464
Nontronite,245.121,1788.22
Nontronite,245.6031,1702.764
Nontronite,246.0852,1618.548
Nontronite,246.5673,1533.562
Nontronite,247.0494,1453.153
Nontronite,247.5316,1377.327
Nontronite,248.0137,1301.945
Nontronite,248.4958,1248.256
Nontronite,248.9779,1225.713
Nontronite,249.46,1221.371
Nontronite,249.9421,1209.458
Nontronite,250.4243,1181.014
Nontronite,250.9064,1156.141
Nontronite,251.3885,1142.089
Nontronite,251.8706,1140.771
Nontronite,252.3527,1143.562
Nontronite,252.8348,1152.646
Nontronite,253.317,1167.675
Nontronite,253.7991,1181.033
Nontronite,254.2812,1183.76
Nontronite,254.7633,1183.614
Nontronite,255.2454,1184.613
Nontronite,255.7275,1186.368
Nontronite,256.2097,1203.993
Nontronite,256.6918,1242.683
Nontronite,257.1739,1288.354
Nontronite,257.656,1315.35
Nontronite,258.1381,1314.261
Nontronite,258.6202,1317.441
Nontronite,259.1024,1340.278
Nontronite,259.5845,1390.22
Nontronite,260.0666,1429.288
Nontronite,260.5487,1452.6
Nontronite,261.0308,1468.357
Nontronite,261.5129,1491.577
Nontronite,261.9951,1519.871
Nontronite,262.4772,1554.51
Nontronite,262.9593,1598.39
Nontronite,263.4414,1654.918
Nontronite,263.9235,1714.909
Nontronite,264.4056,1778.258
Nontronite,264.8878,1843.386
Nontronite,265.3699,1909.157
Nontronite,265.852,1976.343
Nontronite,266.3341,2043.722
Nontronite,266.8162,2114.555
Nontronite,267.2983,2191.144
Nontronite,267.7805,2249.744
Nontronite,268.2626,2281.784
Nontronite,268.7447,2304.77
Nontronite,269.2268,2353.222
Nontronite,269.7089,2436.357
Nontronite,270.191,2511.464
Nontronite,270.6732,2559.522
Nontronite,271.1553,2576.862
Nontronite,271.6374,2599.174
Nontronite,272.1195,2624.901
Nontronite,272.6016,2658.021
Nontronite,273.0837,2705.167
Nontronite,273.5659,2768.322
Nontronite,274.048,2836.244
Nontronite,274.5301,2906.675
Nontronite,275.0122,2979.431
Nontronite,275.4943,3048.366
Nontronite,275.9764,3109.887
Nontronite,276.4586,3174.284
Nontronite,276.9407,3263.008
Nontronite,277.4228,3378.6
Nontronite,277.9049,3486.295
Nontronite,278.387,3568.367
Nontronite,278.8691,3626.106
Nontronite,279.3513,3687.511
Nontronite,279.8334,3751.599
Nontronite,280.3155,3821.845
Nontronite,280.7976,3912.176
